0,LOV,BBO,BHI,VKO,VCS,747,->,LOV,BHI,BBO,VCS,VKO,LOV,1658.66
1,YOD,EMD,SMR,ZML,CGO,747,->,YOD,ZML,CGO,EMD,SMR,YOD,11645.74
2,AUY,VOK,YVB,BPX,ABT,747,->,AUY,BPX,ABT,YVB,VOK,AUY,11958.06
3,JOK,STE,TMP,YUL,KPC,747,->,JOK,TMP,YUL,STE,KPC,JOK,12018.83
4,VCV,COR,YKX,CZW,LPG,747,->,VCV,COR,LPG,CZW,YKX,VCV,12145.27
5,LIF,DKR,PIO,UUU,VEL,747,->,LIF,PIO,DKR,UUU,VEL,LIF,12520.97
6,MEY,LYI,ARE,VNA,ZML,747,->,MEY,VNA,LYI,ZML,ARE,MEY,12710.02
7,SHM,PZI,AUW,QSF,BEZ,747,->,SHM,BEZ,PZI,QSF,AUW,SHM,12873.11
8,UYN,NLA,KPB,YGV,POL,747,->,UYN,KPB,YGV,POL,NLA,UYN,12932.14
9,VOH,TTU,3W2,OAJ,RHO,747,->,VOH,TTU,RHO,3W2,OAJ,VOH,12952.94
10,MJM,HVR,FMO,DSO,FJR,747,->,MJM,FJR,FMO,HVR,DSO,MJM,13386.91
11,BMY,GLK,ASB,BRR,GAI,747,->,BMY,GLK,ASB,BRR,GAI,BMY,13561.51
12,ANN,SHR,TJS,YNZ,GNY,747,->,ANN,SHR,GNY,TJS,YNZ,ANN,13856.07
13,AGF,EFD,YCR,LBZ,SKB,747,->,AGF,SKB,EFD,YCR,LBZ,AGF,14071.61
14,GHB,ZNZ,HEN,YSJ,UGN,747,->,GHB,ZNZ,HEN,YSJ,UGN,GHB,15588.61
15,MLG,XTG,BJV,GEU,REY,747,->,MLG,XTG,REY,GEU,BJV,MLG,15663.85
16,BRW,GUL,SYO,PPW,HOV,747,->,BRW,GUL,SYO,HOV,PPW,BRW,15959.39
17,SWQ,KTR,NXX,MXY,MJD,747,->,SWQ,KTR,MXY,NXX,MJD,SWQ,16725.84
18,SHM,HAK,YCB,HER,CWL,747,->,SHM,HAK,HER,CWL,YCB,SHM,16745.82
19,DKI,ALI,YHU,GNA,BJF,747,->,DKI,GNA,BJF,YHU,ALI,DKI,17002.47
20,BRS,VLS,KGE,YNM,KDI,747,->,BRS,KDI,VLS,KGE,YNM,BRS,17042.92
21,FAV,SAW,ZAR,SNY,KEK,747,->,FAV,SNY,ZAR,SAW,KEK,FAV,17268.82
22,NTL,JHM,YWH,YPY,ZAH,747,->,NTL,ZAH,YPY,YWH,JHM,NTL,18500.61
23,QSF,PJA,SNN,HHH,EMD,747,->,QSF,SNN,HHH,EMD,PJA,QSF,20418.5
24,HAK,CSF,YRA,NFO,YMG,747,->,HAK,NFO,YRA,YMG,CSF,HAK,20990.92
25,KIR,CMR,MTN,NON,DLE,747,->,KIR,DLE,CMR,NON,MTN,KIR,28262.99
26,HDB,LDN,JZH,SKX,PZI,747,->,HDB,LDN,PZI,JZH,SKX,HDB,3028.52
27,LML,O03,CID,ZMU,SBA,747,->,LML,SBA,CID,O03,ZMU,LML,30460.98
28,KUC,FDH,PYR,MHK,HPB,747,->,KUC,HPB,MHK,FDH,PYR,KUC,31788.94
29,IOM,QFZ,XWW,WSZ,BRO,747,->,IOM,BRO,WSZ,QFZ,XWW,IOM,38957.21
30,AKR,KYA,LPY,SCV,XDB,747,->,AKR,KYA,SCV,XDB,LPY,AKR,4199.63
31,ADF,TED,KYD,WDH,SFD,747,->,ADF,KYD,WDH,SFD,TED,ADF,4895.92
